Month DD Raised,No. of FTE Request Raised,SkillList,Location,Experience Grade,Practice,Skill Group,Demand Source
May,4,Salesforce (Functional),Bangalore,A4,BANK,(F) IT Operations,Account
October,2,"Amazon Web services - Build , Administration and integration",Bhubaneswar,B2,M&FT,(F) IT Operations,Account
March,2,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,,Support
October,1,Test Automation,Bhubaneswar,B2,M&FT,(F) IT Operations,Account
June,2,PMO (Account),Noida,A5,I&D,(D) Banking Sector,Proactive
August,4,Salesforce (Functional),Gurgaon,B1,GP,(T) Data Governance / Master Data Management (MDM),Account
June,1,"Testing Manual,Banking,Test Automation",Noida,A5,I&D,,Support
August,4,"Amazon Web services - Build , Administration and integration",Gurgaon,B1,INS,,Proactive
March,3,Angular.js,Pune,A3,TEST,(F) IT Operations,Support
March,2,Angular.js,Pune,A3,TEST,(F) IT Operations,Proactive
June,2,POSTGRESQL,Noida,A5,ADM,,Support
February,4,Informatica MDM (formerly Syperian),Hyderabad,A2,CFS,(T) Card packages,Account
October,2,Informatica MDM (formerly Syperian),Bhubaneswar,B2,M&FT,(T) Office / Desktop Solutions,Proactive
June,1,Informatica MDM (formerly Syperian),Noida,A5,I&D,(F) Business Management / Management / Executive Management,Support
January,2,Angular.js,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
August,3,Angular.js,Gurgaon,B1,INS,(D) Banking Sector,Proactive
March,3,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
August,1,Java,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
January,1,Java,Chennai,A1,DCX,(T) Card packages,Account
March,3,Test Environment Management,Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Account
June,2,Test Environment Management,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Support
December,4,Selenium,Hartford,C1,ERP,(T) Mainframe Development Technologies,Support
June,3,Selenium,Noida,A5,I&D,,Account
May,3,Quick Test Pro,Bangalore,A4,BANK,"(T) Project Tools, Methodologies and Frameworks",Support
December,2,Selenium,Hartford,C1,ERP,(T) Client Server Development Technologies,Support
February,1,Selenium,Hyderabad,A2,CFS,(F) IT Operations,Account
February,1,CRM - Salesforce.com,Hyderabad,A2,CFS,(T) Card packages,Proactive
August,4,PMO (Project),Gurgaon,B1,GP,(T) Card packages,Support
March,1,MS/Windows Dev OPS,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
March,4,MS/Windows Dev OPS,Pune,A3,TEST,(D) Banking Sector,Account
January,1,MS/Windows Dev OPS,Chennai,A1,DCX,(T) Monitoring Technologies,Account
March,1,MS/Windows Dev OPS,Pune,A3,TEST,(F) IT Operations,Account
December,1,MS/Windows Dev OPS,Hartford,C1,ERP,(F) IT Operations,Account
August,4,MS/Windows Dev OPS,Gurgaon,B1,INS,(T) Card packages,Account
October,4,MS/Windows Dev OPS,Bhubaneswar,B2,M&FT,(T) Messaging systems,Account
February,3,MS/Windows Dev OPS,Hyderabad,A2,CFS,(T) Guidewire,Proactive
March,3,MS/Windows Dev OPS,Pune,A3,TEST,,Proactive
May,2,MS/Windows Dev OPS,Bangalore,A4,BANK,,Account
December,3,MS/Windows Dev OPS,Hartford,C1,ERP,(T) Card packages,Proactive
December,4,MS/Windows Dev OPS,Hartford,C1,ERP,(T) Mainframe Development Technologies,Proactive
March,3,MS/Windows Dev OPS,Pune,A3,TEST,(D) Banking Sector,Account
October,4,MS/Windows Dev OPS,Bhubaneswar,B2,Cards,(T) Card packages,Account
February,1,MS/Windows Dev OPS,Hyderabad,A2,CFS,(T) Operating systems and Virtualization Technologies,Support
December,2,MS/Windows Dev OPS,Hartford,C1,ERP,(T) Card packages,Support
August,1,MS/Windows Dev OPS,Gurgaon,B1,GP,(D) Banking Sector,Proactive
June,3,MS/Windows Dev OPS,Noida,A5,I&D,(D) Cards,Account
March,2,MS/Windows Dev OPS,Pune,A3,TEST,(D) Financial Services,Proactive
August,4,MS/Windows Dev OPS,Gurgaon,B1,GP,(D) Banking Sector,Proactive
May,2,MS/Windows Dev OPS,Bangalore,A4,BANK,"(T) Project Tools, Methodologies and Frameworks",Support
March,3,MS/Windows Dev OPS,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Support
February,1,MS/Windows Dev OPS,Hyderabad,A2,CFS,(T) Card packages,Account
October,4,Selenium,Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
March,3,Selenium,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
August,3,Selenium,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Account
May,2,Selenium,Bangalore,A4,BANK,(D) Cards,Account
October,1,Selenium,Bhubaneswar,B2,Cards,(T) Card packages,Account
June,1,Selenium,Noida,A5,ADM,(D) Cards,Account
March,4,MS/Windows Dev OPS,Pune,A3,TEST,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Support
August,4,MS/Windows Dev OPS,Gurgaon,B1,GP,(D) Banking Sector,Account
August,3,MS/Windows Dev OPS,Gurgaon,B1,INS,,Account
October,3,Angular.js,Bhubaneswar,B2,M&FT,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Account
June,4,Angular.js,Noida,A5,I&D,,Account
June,1,Angular.js,Noida,A5,I&D,(D) Cards,Account
August,1,Angular.js,Gurgaon,B1,INS,(T) Java Development Technologies,Account
June,4,Angular.js,Noida,A5,ADM,(T) Microsoft Development Technologies,Account
October,3,Angular.js,Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Account
October,4,Angular.js,Bhubaneswar,B2,Cards,,Account
August,3,Angular.js,Gurgaon,B1,GP,(T) Card packages,Account
March,1,Angular.js,Pune,A3,TEST,(D) Banking Sector,Proactive
May,2,CRM - Salesforce.com,Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
December,4,Informatica MDM (formerly Syperian),Hartford,C1,ERP,(T) Client Server Development Technologies,Proactive
October,3,Informatica MDM (formerly Syperian),Bhubaneswar,B2,Cards,(T) Card packages,Support
August,2,Informatica MDM (formerly Syperian),Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
March,2,Informatica MDM (formerly Syperian),Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,2,Informatica PowerCenter ETL,Noida,A5,ADM,(D) Banking Sector,Proactive
October,4,CRM - Salesforce.com,Bhubaneswar,B2,Cards,(D) Insurance Sector,Proactive
August,4,MS/Windows Dev OPS,Gurgaon,B1,INS,(F) IT Operations,Proactive
October,1,CRM - Salesforce.com,Bhubaneswar,B2,Cards,(T) Java Development Technologies,Proactive
February,1,Informatica PowerCenter ETL,Hyderabad,A2,CFS,"(T) Project Tools, Methodologies and Frameworks",Account
May,1,Salesforce (Technical),Bangalore,A4,BANK,(D) Cards,Account
October,4,Java,Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Account
August,4,Splunk,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Account
October,1,Splunk,Bhubaneswar,B2,M&FT,(T) Card packages,Proactive
February,1,SQL,Hyderabad,A2,CFS,(T) Card packages,Account
August,2,"Informatica PowerCenter ETL,IBM Datastage",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Support
March,2,Talend,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
February,4,Talend,Hyderabad,A2,CFS,(T) Other Oracle ERP,Account
March,4,BLUE PRISM,Pune,A3,TEST,(F) HRO (HR Operations - Business Services),Proactive
June,1,Test Data Generation,Noida,A5,ADM,(T) Card packages,Account
June,3,"Selenium,Guidewire,Insurance,SOAP UI PRO",Noida,A5,I&D,(T) Enterprise Content Management (ECM),Proactive
August,4,"Selenium,Guidewire,SOAP UI PRO,Insurance",Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
June,1,Quality Assurance,Noida,A5,ADM,(T) Card packages,Support
June,4,"Guidewire ClaimCenter,Testing Manual",Noida,A5,ADM,(T) Card packages,Support
August,3,LISA,Gurgaon,B1,INS,(D) Banking Sector,Account
June,4,Test Environment Management,Noida,A5,I&D,,Proactive
March,2,Test Automation,Pune,A3,TEST,(T) Mainframe Development Technologies,Support
October,2,Testing Manual,Bhubaneswar,B2,Cards,(D) Banking Sector,Account
May,2,Test Automation,Bangalore,A4,BANK,(T) Java Development Technologies,Support
June,4,Keynote DeviceAnywhere,Noida,A5,ADM,(F) Business Management / Management / Executive Management,Account
June,4,Keynote DeviceAnywhere,Noida,A5,ADM,(T) Guidewire,Proactive
December,2,Test Automation,Hartford,C1,ERP,(F) IT Operations,Proactive
May,3,Test Environment Management,Bangalore,A4,BANK,,Proactive
March,3,Testing Manual,Pune,A3,TEST,(T) Reporting/Business Intelligence,Support
March,3,PMO (Project),Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
June,4,PMO (Project),Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
December,2,PMO (Project),Hartford,C1,ERP,(T) Card packages,Proactive
October,3,PMO (Project),Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
December,4,PMO (Project),Hartford,C1,ERP,(D) Capital Markets Sector,Support
March,2,PMO (Project),Pune,A3,TEST,(F) IT Operations,Account
February,2,"API Integrations- REST, SOAP , Powershell,Fatwire",Hyderabad,A2,CFS,,Proactive
February,3,.Net with MVC,Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
March,4,.Net with MVC,Pune,A3,TEST,(D) Banking Sector,Support
October,1,"Mainframe Development Environment,COBOL 85",Bhubaneswar,B2,Cards,(T) Relational Databases,Account
February,3,Mainframe Database - DB2 (z/OS),Hyderabad,A2,CFS,(D) Insurance Sector,Account
May,2,"Mainframe Database - DB2 (z/OS),COBOL 85",Bangalore,A4,BANK,(T) Mainframe Development Technologies,Account
March,1,Guidewire PolicyCenter,Pune,A3,TEST,,Support
October,1,Guidewire PolicyCenter,Bhubaneswar,B2,M&FT,(F) IT Operations,Support
August,3,"(T) Guidewire,(Architecture) - Architecture, Solution Designing, Farm Structure/Topology",Gurgaon,B1,GP,(T) Card packages,Account
June,2,"Insurance,Guidewire",Noida,A5,I&D,(T) Enterprise Content Management (ECM),Account
March,4,(T) Testing Tools / Testing Automation / Performance Testing Tools,Pune,A3,TEST,(T) Microsoft Development Technologies,Account
March,4,Selenium,Pune,A3,TEST,(D) Capital Markets Sector,Account
March,2,Selenium,Pune,A3,TEST,,Proactive
October,3,ETL Testing,Bhubaneswar,B2,M&FT,(F) IT Operations,Proactive
October,1,ETL Testing,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
June,4,ETL Testing,Noida,A5,I&D,(T) Monitoring Technologies,Proactive
June,1,ETL Testing,Noida,A5,I&D,(T) Reporting/Business Intelligence,Proactive
October,1,Functional Testing,Bhubaneswar,B2,Cards,(T) Relational Databases,Proactive
March,1,(T) Testing Tools / Testing Automation / Performance Testing Tools,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
June,2,Selenium,Noida,A5,I&D,(D) Cards,Account
March,4,Performance Testing,Pune,A3,TEST,(T) Mainframe Development Technologies,Support
August,2,Cognos,Gurgaon,B1,INS,(D) Banking Sector,Account
June,3,"Guidewire,ETL Testing,Insurance",Noida,A5,ADM,(D) Banking Sector,Proactive
March,4,"iText,Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(D) Banking Sector,Proactive
March,4,"iText,Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(T) Client Server Development Technologies,Proactive
June,2,"iText,Amazon Web services - Build , Administration and integration",Noida,A5,ADM,(F) IT Operations,Proactive
August,3,"iText,Amazon Web services - Build , Administration and integration",Gurgaon,B1,INS,(D) Banking Sector,Account
June,1,"iText,Amazon Web services - Build , Administration and integration",Noida,A5,I&D,(T) Enterprise Content Management (ECM),Account
March,2,"Thunderhead, Java",Pune,A3,TEST,(F) Business Management / Management / Executive Management,Proactive
August,4,"Java (Multi Skilled),Java",Gurgaon,B1,INS,(D) Healthcare Sector,Proactive
March,3,"Java (Multi Skilled),Java",Pune,A3,TEST,(D) Banking Sector,Account
December,4,"Java (Multi Skilled),Java",Hartford,C1,ERP,(D) Banking Sector,Account
May,1,"Java (Multi Skilled),Java",Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
October,2,Filenet,Bhubaneswar,B2,M&FT,(D) Banking Sector,Account
March,3,Filenet,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
October,2,Filenet,Bhubaneswar,B2,Cards,(D) Cards,Proactive
March,1,Filenet,Pune,A3,TEST,(D) Banking Sector,Proactive
August,1,Filenet,Gurgaon,B1,GP,(T) Java Development Technologies,Proactive
March,3,"Core Java,Java",Pune,A3,TEST,(T) Mainframe Development Technologies,Account
March,2,Thunderhead,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,1,Thunderhead,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
January,4,"Core Java,Java",Chennai,A1,DCX,,Proactive
June,4,Thunderhead,Noida,A5,ADM,(T) Mainframe Development Technologies,Proactive
January,4,Thunderhead,Chennai,A1,DCX,(F) IT Operations,Account
February,4,Thunderhead,Hyderabad,A2,CFS,(T) Web Development Technologies,Proactive
February,4,Thunderhead,Hyderabad,A2,CFS,(T) Reporting/Business Intelligence,Proactive
February,4,Thunderhead,Hyderabad,A2,CFS,(T) Reporting/Business Intelligence,Proactive
March,4,Thunderhead,Pune,A3,TEST,(D) Banking Sector,Account
August,2,Thunderhead,Gurgaon,B1,INS,(D) Banking Sector,Proactive
December,1,Thunderhead,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
August,3,Thunderhead,Gurgaon,B1,GP,,Proactive
August,2,"Java,Angular.js",Gurgaon,B1,GP,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
December,3,Manual Security Testing,Hartford,C1,ERP,(T) Mainframe Development Technologies,Account
June,3,Java,Noida,A5,ADM,(T) Card packages,Proactive
December,3,Java,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Account
January,3,Java,Chennai,A1,DCX,(T) Testing Tools / Testing Automation / Performance Testing Tools,Support
January,3,Business Analytics,Chennai,A1,DCX,(D) Financial Services,Proactive
January,4,CRM - Salesforce.com,Chennai,A1,DCX,(T) Mainframe Development Technologies,Proactive
January,3,CRM - Salesforce.com,Chennai,A1,DCX,(T) Reporting/Business Intelligence,Proactive
October,1,Informatica PowerCenter,Bhubaneswar,B2,M&FT,(D) Banking Sector,Account
June,3,QlikView,Noida,A5,ADM,(T) Operating systems and Virtualization Technologies,Account
January,1,Project Management Framework,Chennai,A1,DCX,(T) Java Development Technologies,Support
October,1,"HTML,Core Java",Bhubaneswar,B2,M&FT,(T) Card packages,Proactive
October,1,Testing Manual,Bhubaneswar,B2,M&FT,(T) Client Server Development Technologies,Proactive
March,4,"JEE,Java (Multi Skilled),Java",Pune,A3,TEST,,Proactive
May,1,"JEE,Scrum,(T) Project Tools, Methodologies and Frameworks,Java (Multi Skilled),Java",Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
December,2,"Test Reporting,Informatica BI,Test Case Execution,SQL,ETL",Hartford,C1,ERP,(T) Card packages,Account
August,4,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Gurgaon,B1,INS,(T) Card packages,Proactive
August,3,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Gurgaon,B1,INS,(T) Card packages,Proactive
January,1,"Informatica BI,Test Reporting,Test Case Execution,SQL,ETL",Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Account
February,1,Ab Initio,Hyderabad,A2,CFS,(T) Java Development Technologies,Account
October,2,Ab Initio,Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
October,2,Ab Initio,Bhubaneswar,B2,M&FT,(T) Operating systems and Virtualization Technologies,Proactive
October,3,Ab Initio,Bhubaneswar,B2,Cards,(D) Cards,Account
May,1,Ab Initio,Bangalore,A4,BANK,(D) Cards,Account
October,2,"MQ Developer,Linux",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
October,2,Ab Initio,Bhubaneswar,B2,M&FT,(T) Monitoring Technologies,Proactive
October,4,Axiom,Bhubaneswar,B2,M&FT,(T) Card packages,Proactive
March,2,Power Designer Data Architect,Pune,A3,TEST,(F) Business Management / Management / Executive Management,Account
February,4,Power Designer Data Architect,Hyderabad,A2,CFS,(T) Mainframe Development Technologies,Account
March,2,Power Designer Data Architect,Pune,A3,TEST,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
March,4,Power Designer Data Architect,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
October,2,Power Designer Data Architect,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
February,4,Hyperion Financial Management,Hyderabad,A2,CFS,(T) Guidewire,Proactive
March,4,Hyperion Financial Management,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
March,2,.Net (WF),Pune,A3,TEST,(F) HRO (HR Operations - Business Services),Proactive
January,1,.Net (WF),Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
May,4,SQL,Bangalore,A4,BANK,(T) Java Development Technologies,Account
June,4,SQL,Noida,A5,I&D,,Proactive
June,1,SQL,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
October,2,SQL,Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
December,3,SQL,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
March,1,Cards Issuing,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
August,2,Cards Issuing,Gurgaon,B1,GP,(T) Card packages,Proactive
August,2,Cards Issuing,Gurgaon,B1,INS,(T) Java Development Technologies,Account
May,4,Cards Issuing,Bangalore,A4,BANK,(T) BigData,Support
May,1,Cards Issuing,Bangalore,A4,BANK,(D) Banking Sector,Account
August,2,Peoplesoft (ERP),Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
August,4,Peoplesoft (ERP),Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
March,3,Peoplesoft (ERP),Pune,A3,TEST,(T) Mainframe Development Technologies,Account
June,1,Peoplesoft (ERP),Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
March,2,Peoplesoft (ERP),Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
March,1,Peoplesoft (ERP),Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
June,4,Peoplesoft (ERP),Noida,A5,ADM,(D) Banking Sector,Account
June,1,Java,Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
February,3,iOS Development,Hyderabad,A2,CFS,"(T) Project Tools, Methodologies and Frameworks",Proactive
August,2,Java,Gurgaon,B1,INS,(T) Other Oracle ERP,Account
October,3,Java,Bhubaneswar,B2,M&FT,,Account
October,3,SAS,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
October,4,Testing Manual,Bhubaneswar,B2,M&FT,(D) Financial Services,Account
February,1,Pega,Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Account
March,4,Pega,Pune,A3,TEST,(T) Mainframe Development Technologies,Account
October,1,Pega,Bhubaneswar,B2,Cards,(T) Java Development Technologies,Account
March,2,"Selenium,Jenkins",Pune,A3,TEST,"(T) Project Tools, Methodologies and Frameworks",Account
October,3,"Selenium,Jenkins",Bhubaneswar,B2,Cards,(T) Client Server Development Technologies,Proactive
March,1,HP Performance Center,Pune,A3,TEST,(D) Banking Sector,Proactive
October,3,Test Automation,Bhubaneswar,B2,M&FT,(T) Data Integration,Proactive
March,3,"Jenkins,Groovy",Pune,A3,TEST,(D) Banking Sector,Account
March,2,"Selenium,Quick Test Pro",Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Proactive
October,3,"Selenium,Quick Test Pro",Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
March,3,"Selenium,Quick Test Pro",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
August,1,"Selenium,Quick Test Pro",Gurgaon,B1,GP,(D) Financial Services,Proactive
December,1,"Selenium,Quick Test Pro",Hartford,C1,ERP,(T) Mainframe Development Technologies,Proactive
October,2,Selenium,Bhubaneswar,B2,Cards,(T) Network operate & administration Technologies,Proactive
October,4,Selenium,Bhubaneswar,B2,Cards,(T) Microsoft Development Technologies,Proactive
August,4,"J2EE,Spring,Hibernate,Agile",Gurgaon,B1,GP,(T) Card packages,Account
August,2,.Net (WF),Gurgaon,B1,INS,(T) Card packages,Proactive
March,3,.Net (WF),Pune,A3,TEST,(T) Card packages,Account
August,2,Business Analytics,Gurgaon,B1,GP,(T) Microsoft Development Technologies,Account
June,4,Mulesoft API,Noida,A5,ADM,(F) IT Operations,Support
May,4,Ab Initio,Bangalore,A4,BANK,(F) IT Operations,Proactive
December,4,Ab Initio,Hartford,C1,ERP,(T) Operating systems and Virtualization Technologies,Proactive
February,1,Ab Initio,Hyderabad,A2,CFS,(D) Banking Sector,Proactive
February,3,Ab Initio,Hyderabad,A2,CFS,(T) Relational Databases,Proactive
August,2,Java,Gurgaon,B1,GP,(D) Banking Sector,Account
August,1,"UI,UI Customization,Backbone.js",Gurgaon,B1,GP,(T) Mainframe Development Technologies,Account
October,4,"UI,UI Customization",Bhubaneswar,B2,Cards,(T) Relational Databases,Support
February,4,"Project Management Framework,(T) Project Tools, Methodologies and Frameworks",Hyderabad,A2,CFS,(T) Enterprise Content Management (ECM),Proactive
June,1,"Java,Unix,Agile,(Architecture) - Architecture, Solution Designing, Farm Structure/Topology,Mainframe Environment,Redhat Satellite Server Administration",Noida,A5,I&D,(T) Data Governance / Master Data Management (MDM),Proactive
December,3,Java,Hartford,C1,ERP,(T) Operating systems and Virtualization Technologies,Proactive
June,1,Core Java,Noida,A5,I&D,"(T) Project Tools, Methodologies and Frameworks",Account
December,4,"Mainframe applications,Cards Issuing",Hartford,C1,ERP,(T) Card packages,Account
January,1,Agile,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
October,3,Teradata,Bhubaneswar,B2,Cards,(T) Relational Databases,Proactive
October,1,Teradata,Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Account
October,4,Teradata,Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Proactive
June,3,Teradata,Noida,A5,ADM,(D) Insurance Sector,Proactive
October,4,Build and Release Management,Bhubaneswar,B2,M&FT,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
August,2,Build and Release Management,Gurgaon,B1,INS,(D) Cards,Account
June,1,Java,Noida,A5,I&D,(T) Operating systems and Virtualization Technologies,Proactive
March,3,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
October,3,"ETL,Ab Initio",Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
October,4,"ETL,Ab Initio",Bhubaneswar,B2,Cards,(D) Cards,Proactive
October,3,"ETL,Ab Initio",Bhubaneswar,B2,M&FT,(T) Card packages,Account
January,2,"ETL,Ab Initio",Chennai,A1,DCX,,Proactive
December,3,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Hartford,C1,ERP,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
May,1,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Bangalore,A4,BANK,(D) Banking Sector,Proactive
October,2,"Defect Tracking,Testing SAP,Test Case Execution,Selenium,ETL",Bhubaneswar,B2,Cards,(D) Banking Sector,Account
March,2,IBM,Pune,A3,TEST,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
August,2,"(Consulting) - Business Analysis, Requirements",Gurgaon,B1,INS,(F) Business Consulting,Proactive
June,3,Ab Initio,Noida,A5,ADM,,Account
