Month DD Raised,No. of FTE Request Raised,SkillList,Location,Experience Grade,Practice,Skill Group,Demand Source
October,1,Ab Initio,Bhubaneswar,B2,M&FT,(T) Microsoft Development Technologies,Proactive
October,1,J2EE,Bhubaneswar,B2,Cards,(D) Banking Sector,Support
March,2,Test Automation,Pune,A3,TEST,(T) Microsoft Development Technologies,Proactive
August,3,Cards Acquiring,Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
March,4,Cards Acquiring,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
December,3,"Mainframe applications,VSAM,JCL,TRAMS,COBOL",Hartford,C1,ERP,(T) Java Development Technologies,Support
May,2,"Mainframe applications,COBOL,VSAM,TRAMS,JCL",Bangalore,A4,BANK,(T) Operating systems and Virtualization Technologies,Account
May,2,"Java,API Integrations- REST, SOAP , Powershell",Bangalore,A4,BANK,(T) Enterprise Content Management (ECM),Proactive
June,4,"Java,API Integrations- REST, SOAP , Powershell",Noida,A5,I&D,(T) Client Server Development Technologies,Proactive
August,1,"Java,API Integrations- REST, SOAP , Powershell",Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
December,2,"Java,API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Reporting/Business Intelligence,Account
June,3,"Java,API Integrations- REST, SOAP , Powershell",Noida,A5,ADM,(T) Reporting/Business Intelligence,Account
February,2,"Java,API Integrations- REST, SOAP , Powershell",Hyderabad,A2,CFS,(T) Data Integration,Account
October,1,"Java,API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,M&FT,(D) Banking Sector,Account
October,2,"Java,API Integrations- REST, SOAP , Powershell",Bhubaneswar,B2,Cards,,Account
December,2,"Java,API Integrations- REST, SOAP , Powershell",Hartford,C1,ERP,(T) Data Integration,Account
August,4,Java,Gurgaon,B1,INS,"(T) Project Tools, Methodologies and Frameworks",Account
August,3,Java,Gurgaon,B1,INS,(T) Card packages,Proactive
March,2,Java,Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,2,Java,Noida,A5,ADM,(T) Card packages,Support
June,2,Java,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
May,1,Java,Bangalore,A4,BANK,(T) Data Governance / Master Data Management (MDM),Account
December,3,Java,Hartford,C1,ERP,(T) Java Development Technologies,Proactive
October,2,Java,Bhubaneswar,B2,M&FT,(T) Guidewire,Proactive
March,2,"Java,Cloud,Webservices",Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
December,3,"Java,J2EE,Cloud",Hartford,C1,ERP,"(T) Workflow,  Business process management and Case management",Proactive
June,4,"Java,J2EE,Cloud",Noida,A5,I&D,(T) Web Development Technologies,Proactive
October,2,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Reporting/Business Intelligence,Proactive
August,1,"Java,J2EE,Cloud",Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
August,2,"Java,J2EE,Cloud",Gurgaon,B1,GP,(T) Java Development Technologies,Proactive
August,2,"Java,J2EE,Cloud",Gurgaon,B1,INS,(T) Card packages,Proactive
January,2,"Java,J2EE,Cloud",Chennai,A1,DCX,(T) Web Development Technologies,Account
March,3,"Java,J2EE,Cloud",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Account
February,2,"Java,J2EE,Cloud",Hyderabad,A2,CFS,(D) Financial Services,Account
February,1,"Java,J2EE,Cloud",Hyderabad,A2,CFS,(T) Java Development Technologies,Account
December,4,"Java,J2EE,Cloud",Hartford,C1,ERP,(T) Mainframe Development Technologies,Account
December,2,"Java,J2EE,Cloud",Hartford,C1,ERP,(D) Financial Services,Account
June,4,"Java,J2EE,Cloud",Noida,A5,ADM,(T) Mainframe Development Technologies,Account
October,3,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
October,3,"Java,J2EE,Cloud",Bhubaneswar,B2,Cards,(T) Embedded Realtime Systems,Proactive
August,1,.Net (WF),Gurgaon,B1,INS,(T) Microsoft Development Technologies,Proactive
August,4,.Net (WF),Gurgaon,B1,INS,(T) Web Development Technologies,Proactive
December,2,.Net (WF),Hartford,C1,ERP,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,1,.Net (WF),Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,1,.Net (WF),Noida,A5,ADM,(D) Cards,Proactive
February,4,.Net (WF),Hyderabad,A2,CFS,(T) Reporting/Business Intelligence,Support
June,2,"Business Analytics,Cards Issuing",Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(D) Capital Markets Sector,Proactive
October,3,"Business Analytics,Cards Issuing",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
February,2,"Business Analytics,Cards Issuing",Hyderabad,A2,CFS,(T) Office / Desktop Solutions,Proactive
August,1,"Business Analytics,Cards Issuing",Gurgaon,B1,GP,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Reporting/Business Intelligence,Support
December,1,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(D) Banking Sector,Proactive
January,4,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(T) Data Integration,Proactive
January,3,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(T) Mainframe Development Technologies,Account
December,2,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(T) Mainframe Development Technologies,Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Mainframe Development Technologies,Proactive
March,3,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Account
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Java Development Technologies,Account
May,4,"Business Analytics,Cards Issuing",Bangalore,A4,BANK,(D) Capital Markets Sector,Account
March,4,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Mainframe Development Technologies,Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Account
August,2,"Business Analytics,Cards Issuing",Gurgaon,B1,INS,(F) IT Operations,Account
October,1,"Business Analytics,Cards Issuing",Bhubaneswar,B2,Cards,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
October,3,"Business Analytics,Cards Issuing",Bhubaneswar,B2,Cards,(T) Reporting/Business Intelligence,Proactive
June,2,"Business Analytics,Cards Issuing",Noida,A5,ADM,(T) Office / Desktop Solutions,Proactive
December,4,"Business Analytics,Cards Issuing",Hartford,C1,ERP,(T) Microsoft Development Technologies,Proactive
June,1,"Business Analytics,Cards Issuing",Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
January,3,"Business Analytics,Cards Issuing",Chennai,A1,DCX,(F) IT Operations,Proactive
October,1,"Business Analytics,Cards Issuing",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
March,1,"Business Analytics,Cards Issuing",Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
August,3,"Business Analytics,Cards Issuing",Gurgaon,B1,GP,(T) Enterprise Content Management (ECM),Proactive
March,4,"Cards Acquiring,Vision Plus,VisionPlus CMS",Pune,A3,TEST,(T) Other Oracle ERP,Account
August,4,Agile,Gurgaon,B1,GP,(F) IT Operations,Proactive
June,1,Agile,Noida,A5,ADM,(F) IT Operations,Proactive
August,2,Agile,Gurgaon,B1,GP,(T) Capital market packages,Proactive
February,3,Agile,Hyderabad,A2,CFS,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Proactive
June,4,Agile,Noida,A5,ADM,(T) Mainframe Development Technologies,Proactive
March,1,Agile,Pune,A3,TEST,(D) Banking Sector,Proactive
January,2,Agile,Chennai,A1,DCX,(T) Card packages,Support
June,1,Agile,Noida,A5,ADM,(D) Technology / High tech / Software Sector,Account
August,3,Agile,Gurgaon,B1,GP,(T) Card packages,Proactive
March,2,Agile,Pune,A3,TEST,(T) Guidewire,Proactive
March,4,Agile,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
October,1,Agile,Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
June,2,Agile,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
March,4,Agile,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
March,4,"Project Management Framework,JDE Project Management Contract and Service Billing",Pune,A3,TEST,(T) Relational Databases,Proactive
October,1,"Project Management Framework,JDE Project Management Contract and Service Billing",Bhubaneswar,B2,M&FT,(T) Card packages,Account
August,2,"Project Management Framework,JDE Project Management Contract and Service Billing",Gurgaon,B1,GP,(D) Banking Sector,Support
October,4,"Project Management Framework,JDE Project Management Contract and Service Billing",Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
October,4,"Project Management Framework,JDE Project Management Contract and Service Billing",Bhubaneswar,B2,Cards,(T) Enterprise Content Management (ECM),Proactive
February,1,"Project Management Framework,JDE Project Management Contract and Service Billing",Hyderabad,A2,CFS,(F) Business Consulting,Account
October,4,"Project Management Framework,JDE Project Management Contract and Service Billing",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Support
February,4,"Project Management Framework,JDE Project Management Contract and Service Billing",Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Support
January,3,Defect Tracking,Chennai,A1,DCX,(T) Java Development Technologies,Proactive
March,2,Defect Tracking,Pune,A3,TEST,"(T) Project Tools, Methodologies and Frameworks",Proactive
March,3,Defect Tracking,Pune,A3,TEST,(T) Card packages,Proactive
December,3,Defect Tracking,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
October,3,Defect Tracking,Bhubaneswar,B2,M&FT,"(T) Workflow,  Business process management and Case management",Proactive
June,3,Defect Tracking,Noida,A5,ADM,(D) Insurance Sector,Proactive
August,2,C#,Gurgaon,B1,GP,(F) IT Operations,Proactive
May,1,PMO (Project),Bangalore,A4,BANK,(D) Banking Sector,Proactive
June,4,Ab Initio,Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
June,1,Ab Initio,Noida,A5,ADM,(D) Capital Markets Sector,Account
October,4,Ab Initio,Bhubaneswar,B2,Cards,(F) IT Operations,Account
February,4,PMO (Project),Hyderabad,A2,CFS,(T) Java Development Technologies,Account
August,3,Java,Gurgaon,B1,INS,(T) Monitoring Technologies,Account
October,2,Axway Integration Broker,Bhubaneswar,B2,Cards,(T) Java Development Technologies,Account
February,2,Axway Integration Broker,Hyderabad,A2,CFS,(T) Card packages,Support
March,4,Testing Manual,Pune,A3,TEST,(D) Cards,Proactive
May,3,"Spring,Hibernate,Core Java",Bangalore,A4,BANK,(T) Enterprise Content Management (ECM),Proactive
December,2,Business Analytics,Hartford,C1,ERP,(F) IT Operations,Support
January,1,Business Analytics,Chennai,A1,DCX,(T) Other Financial Solutions,Account
October,1,Business Analytics,Bhubaneswar,B2,Cards,(F) Finance / Treasury / Cash / Consolidation,Proactive
January,3,"Oracle Identity Management (OAM, OID, Webgate, AccessGate)",Chennai,A1,DCX,(T) Capital market packages,Proactive
October,2,"Oracle Identity Management (OAM, OID, Webgate, AccessGate)",Bhubaneswar,B2,M&FT,(D) Cards,Proactive
December,1,EXTJS,Hartford,C1,ERP,(F) Risk Management / Audit (Functional),Account
June,4,EXTJS,Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
October,2,EXTJS,Bhubaneswar,B2,Cards,(T) Mainframe Development Technologies,Proactive
June,4,Kafka,Noida,A5,I&D,(T) Java Development Technologies,Proactive
December,2,Kafka,Hartford,C1,ERP,(T) Reporting/Business Intelligence,Account
December,4,Kafka,Hartford,C1,ERP,(D) Banking Sector,Proactive
June,4,Kafka,Noida,A5,ADM,(T) Card packages,Support
October,4,Kafka,Bhubaneswar,B2,Cards,(T) Embedded Realtime Systems,Proactive
January,3,Kafka,Chennai,A1,DCX,(T) Java Development Technologies,Proactive
March,2,Kafka,Pune,A3,TEST,(D) Cards,Proactive
May,3,Kafka,Bangalore,A4,BANK,(D) Banking Sector,Proactive
January,4,Kafka,Chennai,A1,DCX,(T) Mainframe Development Technologies,Proactive
May,3,Kafka,Bangalore,A4,BANK,(F) IT Operations,Proactive
March,3,Kafka,Pune,A3,TEST,(T) Java Development Technologies,Proactive
June,2,Oracle DB PL/SQL,Noida,A5,I&D,(F) IT Operations,Proactive
January,2,Oracle DB PL/SQL,Chennai,A1,DCX,"(T) Project Tools, Methodologies and Frameworks",Proactive
August,2,"(Consulting) - Business Analysis, Requirements",Gurgaon,B1,INS,(T) Enterprise Content Management (ECM),Proactive
October,3,Java,Bhubaneswar,B2,M&FT,(T) Reporting/Business Intelligence,Proactive
October,1,Java,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Proactive
October,3,Java,Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
June,2,Java,Noida,A5,ADM,(D) Banking Sector,Proactive
March,2,Java,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
June,2,Testing Manual,Noida,A5,I&D,,Proactive
August,4,"Java (Multi Skilled),Java",Gurgaon,B1,INS,(T) Java Development Technologies,Proactive
May,1,"Java (Multi Skilled),Java",Bangalore,A4,BANK,(T) Enterprise Content Management (ECM),Support
March,3,"Java (Multi Skilled),Java",Pune,A3,TEST,(F) IT Operations,Proactive
October,2,"Java (Multi Skilled),Java",Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
January,1,"Java,Angular.js,JavaScript,Spring,CSS,HTML,JavaScript UI",Chennai,A1,DCX,(T) Java Development Technologies,Account
March,3,Ab Initio,Pune,A3,TEST,(D) Banking Sector,Support
October,3,"Banking - Payments,Financial Services",Bhubaneswar,B2,Cards,(T) Data Governance / Master Data Management (MDM),Proactive
October,1,Performance Testing,Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
January,3,"Test Automation,LISA",Chennai,A1,DCX,(T) Mainframe Development Technologies,Proactive
June,4,"Test Automation,LISA",Noida,A5,ADM,(T) Operating systems and Virtualization Technologies,Proactive
June,2,"Test Environment Management,Hyperion",Noida,A5,I&D,(T) Java Development Technologies,Proactive
August,2,"SOA,Webservices,LISA",Gurgaon,B1,INS,(D) Banking Sector,Proactive
October,1,"SOA,Webservices,LISA",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
January,3,"SOA,Webservices,LISA",Chennai,A1,DCX,(T) Configuration Management & Versioning Tools,Support
June,2,"SOA,Webservices,LISA",Noida,A5,ADM,(T) Enterprise Content Management (ECM),Proactive
January,1,"SOA,Webservices,LISA",Chennai,A1,DCX,(T) BigData,Proactive
October,4,"SOA,Webservices,LISA",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
June,2,"SOA,Webservices,LISA",Noida,A5,I&D,(D) Banking Sector,Account
August,3,"SOA,Webservices,LISA",Gurgaon,B1,INS,(D) Cards,Account
October,4,"SOA,Webservices,LISA",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Account
February,3,"SOA,Webservices,LISA",Hyderabad,A2,CFS,(T) Guidewire,Account
August,4,"Test Environment Management,Peoplesoft (ERP)",Gurgaon,B1,INS,(D) Capital Markets Sector,Account
December,1,"Selenium,TOSCA",Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
October,4,"Selenium,TOSCA",Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Proactive
October,1,"Selenium,TOSCA",Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
October,2,"Selenium,TOSCA",Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
June,2,"Selenium,TOSCA",Noida,A5,ADM,(T) Relational Databases,Proactive
February,3,"Selenium,TOSCA",Hyderabad,A2,CFS,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
June,2,TOSCA,Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
October,3,Test Environment Management,Bhubaneswar,B2,Cards,(D) Cards,Proactive
March,4,"Test Environment Management,Pega",Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
February,2,Selenium,Hyderabad,A2,CFS,(D) Banking Sector,Account
August,4,"ETL Server/Warehouse,(T) Data and Semantic Modelling,(T) Relational Databases,Data Warehousing",Gurgaon,B1,GP,(T) Configuration Management & Versioning Tools,Proactive
May,2,Testing Manual,Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
March,2,Peoplesoft Administration,Pune,A3,TEST,(T) Card packages,Support
February,2,PeopleSoft Technical,Hyderabad,A2,CFS,(D) Banking Sector,Support
October,4,PeopleSoft Technical,Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
March,2,PeopleSoft Technical,Pune,A3,TEST,(T) Card packages,Proactive
March,1,PeopleSoft Technical,Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
January,2,PeopleSoft Technical,Chennai,A1,DCX,(T) Java Development Technologies,Proactive
December,1,PeopleSoft Technical,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Account
January,2,PeopleSoft Technical,Chennai,A1,DCX,(T) Mainframe Development Technologies,Proactive
June,4,UI,Noida,A5,I&D,(T) Mainframe Development Technologies,Proactive
March,1,UI,Pune,A3,TEST,(D) Banking Sector,Proactive
October,3,UI,Bhubaneswar,B2,M&FT,(T) Reporting/Business Intelligence,Proactive
June,1,UI,Noida,A5,I&D,(T) Testing Tools / Testing Automation / Performance Testing Tools,Support
March,1,Business Analytics,Pune,A3,TEST,(D) Capital Markets Sector,Proactive
May,4,Web Development,Bangalore,A4,BANK,(T) Web Development Technologies,Proactive
March,4,Web Development,Pune,A3,TEST,(T) Data Science and Analytics,Account
August,4,Web Development,Gurgaon,B1,GP,(T) Mainframe Development Technologies,Proactive
March,1,Web Development,Pune,A3,TEST,(T) Enterprise Content Management (ECM),Proactive
October,2,Web Development,Bhubaneswar,B2,M&FT,(T) Java Development Technologies,Proactive
March,3,Web Development,Pune,A3,TEST,(T) Reporting/Business Intelligence,Proactive
May,1,Test Automation,Bangalore,A4,BANK,(T) Capital market packages,Proactive
January,4,Test Automation,Chennai,A1,DCX,(T) Enterprise Content Management (ECM),Proactive
March,2,Test Automation,Pune,A3,TEST,(T) Card packages,Proactive
January,3,Test Automation,Chennai,A1,DCX,(T) Web Development Technologies,Proactive
May,4,Guidewire PolicyCenter,Bangalore,A4,BANK,(D) Banking Sector,Support
October,3,Mainframe Development Environment,Bhubaneswar,B2,M&FT,(D) Capital Markets Sector,Account
March,2,Mainframe Development Environment,Pune,A3,TEST,(T) Capital market packages,Proactive
June,3,Mainframe Development Environment,Noida,A5,ADM,(D) Banking Sector,Proactive
December,3,Mainframe Development Environment,Hartford,C1,ERP,(D) Banking Sector,Proactive
January,3,Mainframe Development Environment,Chennai,A1,DCX,(T) Operating systems and Virtualization Technologies,Proactive
December,2,Guidewire,Hartford,C1,ERP,(D) Cards,Proactive
October,1,ETL,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
October,2,ETL,Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Proactive
May,1,Guidewire BillingCenter,Bangalore,A4,BANK,(D) Banking Sector,Account
December,2,Guidewire PolicyCenter,Hartford,C1,ERP,(D) Capital Markets Sector,Account
February,3,Guidewire,Hyderabad,A2,CFS,(T) Microsoft Development Technologies,Account
February,3,Guidewire,Hyderabad,A2,CFS,,Account
March,3,Guidewire,Pune,A3,TEST,(D) Capital Markets Sector,Account
February,1,HP Exstream,Hyderabad,A2,CFS,,Account
March,2,Pega,Pune,A3,TEST,(T) Client Server Development Technologies,Support
August,3,Pega,Gurgaon,B1,INS,(T) Card packages,Support
March,3,Open Span,Pune,A3,TEST,(F) IT Operations,Proactive
August,2,SAP TDMS,Gurgaon,B1,INS,(T) Card packages,Proactive
June,2,Guidewire PolicyCenter,Noida,A5,I&D,(T) Data Governance / Master Data Management (MDM),Proactive
May,1,Guidewire,Bangalore,A4,BANK,(T) Enterprise Content Management (ECM),Proactive
May,4,Test Automation,Bangalore,A4,BANK,(D) Capital Markets Sector,Account
January,2,Test Automation,Chennai,A1,DCX,(T) Testing Tools / Testing Automation / Performance Testing Tools,Proactive
January,4,Test Automation,Chennai,A1,DCX,(D) Banking Sector,Proactive
March,1,Java,Pune,A3,TEST,"(T) Project Tools, Methodologies and Frameworks",Support
January,3,Java,Chennai,A1,DCX,(T) Java Development Technologies,Proactive
March,2,Java,Pune,A3,TEST,(D) Insurance Sector,Proactive
December,4,Java,Hartford,C1,ERP,(T) Enterprise Content Management (ECM),Proactive
March,1,Microsoft Dynamics CRM,Pune,A3,TEST,(T) Operating systems and Virtualization Technologies,Proactive
October,2,SAP ISU CRM,Bhubaneswar,B2,M&FT,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
October,4,Core Banking,Bhubaneswar,B2,Cards,(F) Sales / CRM / Marketing / Offer/ Client Management / Customer Experience,Account
October,4,Core Banking,Bhubaneswar,B2,M&FT,(F) IT Operations,Proactive
October,1,Core Banking,Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
October,4,"Automation - Chef, Puppet",Bhubaneswar,B2,M&FT,(T) Enterprise Content Management (ECM),Proactive
October,4,"Automation - Chef, Puppet",Bhubaneswar,B2,Cards,(D) Banking Sector,Proactive
March,3,"Automation - Chef, Puppet",Pune,A3,TEST,(T) Configuration Management & Versioning Tools,Proactive
January,4,"Amazon Web services - Build , Administration and integration",Chennai,A1,DCX,"(T) Project Tools, Methodologies and Frameworks",Proactive
May,2,"Amazon Web services - Build , Administration and integration",Bangalore,A4,BANK,(T) Mainframe Development Technologies,Proactive
October,1,"Amazon Web services - Build , Administration and integration",Bhubaneswar,B2,M&FT,(T) Mainframe Development Technologies,Account
March,4,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(D) Cards,Account
October,4,Spring Batch,Bhubaneswar,B2,Cards,(F) Finance / Treasury / Cash / Consolidation,Account
January,4,Spring,Chennai,A1,DCX,(F) IT Operations,Account
May,1,Spring Batch,Bangalore,A4,BANK,(T) Oracle Technology,Account
May,3,Spring,Bangalore,A4,BANK,"(T) Project Tools, Methodologies and Frameworks",Account
March,4,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(T) Mainframe Development Technologies,Proactive
May,3,"Amazon Web services - Build , Administration and integration",Bangalore,A4,BANK,(F) Commercial and Contract Management,Support
December,4,"Amazon Web services - Build , Administration and integration",Hartford,C1,ERP,(D) Cards,Proactive
October,1,"Amazon Web services - Build , Administration and integration",Bhubaneswar,B2,M&FT,(D) Banking Sector,Proactive
March,1,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(D) Banking Sector,Proactive
March,3,"Amazon Web services - Build , Administration and integration",Pune,A3,TEST,(D) Banking Sector,Support
October,2,"Amazon Web services - Build , Administration and integration",Bhubaneswar,B2,M&FT,(T) Testing Tools / Testing Automation / Performance Testing Tools,Account
